,Short Term,Mid Term,Long Term,color
All Stocks,0.005822913027185517,0.04506005222801901,0.2121909717322561,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
T-Mobile,0.027205238632321938,0.04900992291108741,0.5813455630300489,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Coupa Software,-0.023267528878786026,0.24137527313546747,0.8100717411728497,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Shopify,0.053374472542351836,0.2501344809050051,0.7233477822887938,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Alphabet,0.1640918684656475,0.3198509650518182,0.7943113111224072,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Nvidia,0.11230019236492661,0.32319205643981297,0.7872583984297741,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Alibaba,-0.1124390204640826,0.34769574889370713,0.6966587164414046,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Okta,-0.073912450075859,0.34894157004750215,0.7896859355131993,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Salesforce,0.16763949338058037,0.3554953449705537,0.6434024534688867,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Microsoft,0.20339614454267774,0.3994824128095871,0.7562963041180427,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
MercadoLibre,0.1274465984533305,0.42105052518326547,0.8803399872043716,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Palo Alto Networks,0.10246027623386822,0.4258137864979368,0.8116982701234191,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Apple,0.08067790806397934,0.4277597637378556,0.7469355050846621,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
LM Ericsson,-0.0036161869520829892,0.44982943576953727,0.7552132902372382,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
American Tower,0.15486684844572152,0.45866456475863693,0.7336685359708579,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Analog Devices,0.14210914626707682,0.49925313820346606,0.6411750256316857,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
PayPal,0.0737238087018709,0.5412356641805339,0.8044013500419873,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Amazon,-0.04086539354190921,0.5453979134747847,0.6826443035881193,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Square,0.12011866131449167,0.5768005544312002,0.8598622776104251,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Qualcomm,-0.19087662624612123,0.5784646939759186,0.6940418957127241,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
